epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3176,1.22742,1.25406,1.23544,0.93717,0.95822,0.98526,0.58375,1.43966,0.75649,1.33382,0.000236992,0.000236992,0.000236992
2,63.934,1.11799,0.64525,1.17703,0.9795,0.97122,0.99176,0.71737,1.01765,0.52987,1.11846,0.000470289,0.000470289,0.000470289
3,92.32,1.11868,0.61518,1.1981,0.99141,0.99209,0.99468,0.73281,0.97132,0.48756,1.08871,0.000698874,0.000698874,0.000698874
4,120.723,1.10273,0.60195,1.1952,0.97726,0.98306,0.98736,0.7294,0.96908,0.47878,1.09489,0.000692794,0.000692794,0.000692794
5,148.954,1.00456,0.55778,1.13014,0.99208,0.99084,0.99447,0.73973,0.95039,0.44801,1.09207,0.000685726,0.000685726,0.000685726
6,176.287,0.98613,0.54369,1.13364,0.99428,0.98093,0.99449,0.77296,0.89552,0.42767,1.05066,0.000678657,0.000678657,0.000678657
7,203.868,0.98609,0.52497,1.11422,0.97805,0.98193,0.9941,0.77522,0.8552,0.42812,1.02543,0.000671588,0.000671588,0.000671588
8,230.95,0.96955,0.50804,1.11606,0.99657,0.99887,0.99493,0.81033,0.81867,0.39061,1.00731,0.00066452,0.00066452,0.00066452
9,258.858,0.92844,0.49292,1.07475,0.99055,0.99322,0.99484,0.78786,0.83639,0.38927,0.9939,0.000657451,0.000657451,0.000657451
10,286.701,0.9593,0.49145,1.0818,0.99486,0.99718,0.99489,0.81186,0.80728,0.37533,0.99596,0.000650383,0.000650383,0.000650383
11,315.73,0.90495,0.46457,1.07619,0.99774,0.99695,0.99498,0.8122,0.79274,0.37128,0.99172,0.000643314,0.000643314,0.000643314
12,342.253,0.89366,0.45936,1.06063,0.99603,0.99831,0.99499,0.81118,0.82318,0.36987,1.00215,0.000636245,0.000636245,0.000636245
13,369.147,0.88865,0.45038,1.05347,0.9958,1,0.99488,0.80646,0.77604,0.35286,0.97459,0.000629177,0.000629177,0.000629177
14,396.923,0.8677,0.44477,1.05504,0.99883,0.99887,0.99499,0.82418,0.76551,0.3471,0.98327,0.000622108,0.000622108,0.000622108
15,425.403,0.82728,0.43436,1.02681,0.99772,1,0.99499,0.81525,0.76595,0.34161,0.97782,0.00061504,0.00061504,0.00061504
16,454.606,0.85191,0.43465,1.05095,0.99943,0.99853,0.995,0.82812,0.75083,0.33824,0.97127,0.000607971,0.000607971,0.000607971
17,482.285,0.82432,0.43001,1.0302,0.99985,0.99944,0.995,0.82999,0.71877,0.32586,0.96012,0.000600902,0.000600902,0.000600902
18,510.227,0.82298,0.41742,1.02478,0.99752,1,0.99495,0.84042,0.72153,0.32972,0.95902,0.000593834,0.000593834,0.000593834
19,538.139,0.83769,0.41709,1.03868,0.99972,0.99944,0.995,0.84186,0.71081,0.32117,0.95063,0.000586765,0.000586765,0.000586765
20,566.147,0.81763,0.40997,1.02727,0.99659,0.9912,0.99497,0.83608,0.72743,0.33589,0.95332,0.000579697,0.000579697,0.000579697
21,594.029,0.80697,0.40519,1.01638,0.99968,0.99944,0.995,0.85031,0.69079,0.31371,0.9358,0.000572628,0.000572628,0.000572628
22,621.503,0.7885,0.39623,0.99895,0.99886,0.99944,0.99494,0.84284,0.70676,0.3176,0.95169,0.000565559,0.000565559,0.000565559
23,648.951,0.78351,0.38395,1.00057,0.99933,1,0.995,0.84663,0.69505,0.31204,0.94002,0.000558491,0.000558491,0.000558491
24,676.795,0.74601,0.38567,0.98314,0.99887,0.99944,0.99498,0.85384,0.67722,0.30982,0.93849,0.000551422,0.000551422,0.000551422
25,704.003,0.76793,0.39037,1.00206,0.99981,0.99831,0.995,0.84779,0.68923,0.31025,0.93712,0.000544354,0.000544354,0.000544354
26,731.742,0.75526,0.38087,0.99443,0.99992,0.99944,0.995,0.85921,0.65252,0.2949,0.91998,0.000537285,0.000537285,0.000537285
27,759.233,0.77023,0.38112,0.99098,0.99985,1,0.995,0.85614,0.66927,0.29342,0.93441,0.000530216,0.000530216,0.000530216
28,784.864,0.74939,0.37002,0.98799,0.99819,0.99944,0.99499,0.85765,0.67912,0.29596,0.92144,0.000523148,0.000523148,0.000523148
29,811.242,0.73786,0.36127,0.9838,1,0.99999,0.995,0.85694,0.66895,0.29638,0.92844,0.000516079,0.000516079,0.000516079
30,838.303,0.74811,0.36918,0.99872,0.9999,1,0.995,0.8583,0.64755,0.293,0.91667,0.000509011,0.000509011,0.000509011
31,865.298,0.74087,0.36039,0.98113,0.99928,1,0.995,0.86701,0.64086,0.28396,0.91718,0.000501942,0.000501942,0.000501942
32,892.19,0.72003,0.36062,0.9857,0.99969,0.99944,0.995,0.861,0.6468,0.29375,0.91205,0.000494873,0.000494873,0.000494873
33,919.497,0.71219,0.351,0.97263,0.99991,1,0.995,0.86874,0.63413,0.28234,0.90649,0.000487805,0.000487805,0.000487805
34,946.893,0.69986,0.34817,0.96308,0.99995,1,0.995,0.86827,0.63187,0.27877,0.90927,0.000480736,0.000480736,0.000480736
35,974.241,0.68971,0.34256,0.95109,0.99978,0.99944,0.995,0.87685,0.60621,0.27739,0.90637,0.000473668,0.000473668,0.000473668
36,1002.12,0.71105,0.35013,0.97145,0.99887,0.99882,0.99498,0.87491,0.62343,0.27626,0.90772,0.000466599,0.000466599,0.000466599
37,1029.25,0.69909,0.33853,0.96,0.99944,0.99997,0.995,0.87188,0.62312,0.27509,0.90438,0.00045953,0.00045953,0.00045953
38,1056.46,0.69224,0.34539,0.96578,0.99887,0.99989,0.99499,0.8788,0.59248,0.26717,0.89768,0.000452462,0.000452462,0.000452462
39,1083.88,0.68518,0.34506,0.96875,0.99874,1,0.995,0.87564,0.59164,0.27042,0.89473,0.000445393,0.000445393,0.000445393
40,1111.17,0.69351,0.33662,0.95413,0.99993,1,0.995,0.88313,0.58963,0.26277,0.89576,0.000438325,0.000438325,0.000438325
41,1137.86,0.66384,0.33637,0.93641,0.99903,1,0.995,0.87709,0.59984,0.26663,0.89473,0.000431256,0.000431256,0.000431256
42,1164.82,0.66145,0.32685,0.94516,0.99935,1,0.99495,0.8781,0.59027,0.26414,0.88363,0.000424187,0.000424187,0.000424187
43,1191.9,0.69872,0.34101,0.96373,1,0.99995,0.995,0.88707,0.57008,0.25722,0.87829,0.000417119,0.000417119,0.000417119
44,1219.55,0.66395,0.33439,0.94005,1,0.99973,0.995,0.88777,0.57305,0.25892,0.88999,0.00041005,0.00041005,0.00041005
45,1246.68,0.66443,0.33354,0.95914,0.99944,0.99938,0.995,0.88931,0.57045,0.25424,0.89141,0.000402982,0.000402982,0.000402982
46,1274.06,0.66892,0.328,0.9536,0.99996,1,0.995,0.8868,0.56931,0.25134,0.88852,0.000395913,0.000395913,0.000395913
47,1300.85,0.6482,0.32944,0.94146,0.99999,1,0.995,0.89271,0.55815,0.24879,0.87618,0.000388844,0.000388844,0.000388844
48,1327.87,0.67063,0.33796,0.95708,0.99752,0.99831,0.995,0.89063,0.55931,0.25027,0.88433,0.000381776,0.000381776,0.000381776
49,1354.62,0.65325,0.32385,0.94509,1,0.99986,0.995,0.88997,0.5554,0.24351,0.88071,0.000374707,0.000374707,0.000374707
50,1382.16,0.65731,0.31828,0.93973,0.99995,1,0.995,0.89319,0.56596,0.2453,0.88529,0.000367639,0.000367639,0.000367639
51,1410.01,0.63743,0.31769,0.94076,0.99995,1,0.995,0.89532,0.55247,0.2421,0.87928,0.00036057,0.00036057,0.00036057
52,1437.48,0.65285,0.32361,0.94861,1,1,0.995,0.89616,0.5581,0.24304,0.87876,0.000353501,0.000353501,0.000353501
53,1464.78,0.64376,0.3201,0.93924,1,0.99999,0.995,0.89723,0.53797,0.23979,0.86416,0.000346433,0.000346433,0.000346433
